time, protocol, source_port, destination_port, fin_flag, syn_flag, push_flag, ack_flag, urgent_flag, target
2020-02-26 15:50:00.807955,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.808983,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.809002,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.810209,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.811192,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.811211,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.812173,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.813422,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.813445,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.814412,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.815355,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.815375,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.816348,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.817851,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.817875,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.818842,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.820057,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.820077,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.820347,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.821291,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.821311,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.822513,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.823799,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.823822,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.824855,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.825927,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.825946,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.826945,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.828470,6,443,41014,0,0,0,1,0,normal
